# Freq(Hz) Mag(ohms) Phase(deg)
3.30530530530531e+02 -1.95011292197798e+01 -8.87573943289219e+01
3.31481481481481e+02 -1.95260729824406e+01 -8.87609582276267e+01
3.32432432432432e+02 -1.95509453463586e+01 -8.87645017441565e+01
3.33383383383383e+02 -1.95757467189468e+01 -8.87680250528420e+01
3.34334334334334e+02 -1.96004775041424e+01 -8.87715283260318e+01
3.35285285285285e+02 -1.96251381024462e+01 -8.87750117341204e+01
3.36236236236236e+02 -1.96497289109613e+01 -8.87784754455758e+01
3.37187187187187e+02 -1.96742503234317e+01 -8.87819196269666e+01
3.38138138138138e+02 -1.96987027302798e+01 -8.87853444429889e+01
3.39089089089089e+02 -1.97230865186436e+01 -8.87887500564921e+01
3.40040040040040e+02 -1.97474020724138e+01 -8.87921366285053e+01
3.40990990990991e+02 -1.97716497722696e+01 -8.87955043182620e+01
3.41941941941942e+02 -1.97958299957146e+01 -8.87988532832257e+01
3.42892892892893e+02 -1.98199431171119e+01 -8.88021836791139e+01
3.43843843843844e+02 -1.98439895077190e+01 -8.88054956599227e+01
3.44794794794795e+02 -1.98679695357221e+01 -8.88087893779499e+01
3.45745745745746e+02 -1.98918835662693e+01 -8.88120649838191e+01
3.46696696696697e+02 -1.99157319615047e+01 -8.88153226265021e+01
3.47647647647648e+02 -1.99395150806007e+01 -8.88185624533415e+01
3.48598598598599e+02 -1.99632332797907e+01 -8.88217846100731e+01
3.49549549549550e+02 -1.99868869124010e+01 -8.88249892408480e+01
3.50500500500500e+02 -2.00104763288820e+01 -8.88281764882532e+01
3.51451451451451e+02 -2.00340018768400e+01 -8.88313464933339e+01
3.52402402402402e+02 -2.00574639010673e+01 -8.88344993956132e+01
3.53353353353353e+02 -2.00808627435727e+01 -8.88376353331134e+01
3.54304304304304e+02 -2.01041987436114e+01 -8.88407544423756e+01
3.55255255255255e+02 -2.01274722377143e+01 -8.88438568584798e+01
3.56206206206206e+02 -2.01506835597174e+01 -8.88469427150643e+01
3.57157157157157e+02 -2.01738330407901e+01 -8.88500121443448e+01
3.58108108108108e+02 -2.01969210094637e+01 -8.88530652771336e+01
3.59059059059059e+02 -2.02199477916595e+01 -8.88561022428575e+01
3.60010010010010e+02 -2.02429137107160e+01 -8.88591231695770e+01
3.60960960960961e+02 -2.02658190874166e+01 -8.88621281840034e+01
3.61911911911912e+02 -2.02886642400158e+01 -8.88651174115171e+01
3.62862862862863e+02 -2.03114494842664e+01 -8.88680909761848e+01
3.63813813813814e+02 -2.03341751334450e+01 -8.88710490007768e+01
3.64764764764765e+02 -2.03568414983783e+01 -8.88739916067837e+01
3.65715715715716e+02 -2.03794488874682e+01 -8.88769189144331e+01
3.66666666666667e+02 -2.04019976067175e+01 -8.88798310427060e+01
3.67617617617618e+02 -2.04244879597540e+01 -8.88827281093530e+01
3.68568568568569e+02 -2.04469202478554e+01 -8.88856102309099e+01
3.69519519519520e+02 -2.04692947699736e+01 -8.88884775227136e+01
3.70470470470470e+02 -2.04916118227582e+01 -8.88913300989174e+01
3.71421421421421e+02 -2.05138717005804e+01 -8.88941680725059e+01
3.72372372372372e+02 -2.05360746955562e+01 -8.88969915553104e+01
3.73323323323323e+02 -2.05582210975692e+01 -8.88998006580231e+01
3.74274274274274e+02 -2.05803111942934e+01 -8.89025954902119e+01
3.75225225225225e+02 -2.06023452712156e+01 -8.89053761603343e+01
3.76176176176176e+02 -2.06243236116576e+01 -8.89081427757519e+01
3.77127127127127e+02 -2.06462464967977e+01 -8.89108954427437e+01
3.78078078078078e+02 -2.06681142056927e+01 -8.89136342665201e+01
3.79029029029029e+02 -2.06899270152989e+01 -8.89163593512361e+01
3.79979979979980e+02 -2.07116852004932e+01 -8.89190708000044e+01
3.80930930930931e+02 -2.07333890340938e+01 -8.89217687149088e+01
3.81881881881882e+02 -2.07550387868808e+01 -8.89244531970166e+01
3.82832832832833e+02 -2.07766347276164e+01 -8.89271243463914e+01
3.83783783783784e+02 -2.07981771230648e+01 -8.89297822621055e+01
3.84734734734735e+02 -2.08196662380122e+01 -8.89324270422520e+01
3.85685685685686e+02 -2.08411023352860e+01 -8.89350587839572e+01
3.86636636636637e+02 -2.08624856757743e+01 -8.89376775833923e+01
3.87587587587588e+02 -2.08838165184447e+01 -8.89402835357848e+01
3.88538538538539e+02 -2.09050951203634e+01 -8.89428767354308e+01
3.89489489489489e+02 -2.09263217367135e+01 -8.89454572757055e+01
3.90440440440440e+02 -2.09474966208134e+01 -8.89480252490749e+01
3.91391391391391e+02 -2.09686200241351e+01 -8.89505807471070e+01
3.92342342342342e+02 -2.09896921963218e+01 -8.89531238604821e+01
3.93293293293293e+02 -2.10107133852059e+01 -8.89556546790040e+01
3.94244244244244e+02 -2.10316838368261e+01 -8.89581732916105e+01
3.95195195195195e+02 -2.10526037954450e+01 -8.89606797863836e+01
3.96146146146146e+02 -2.10734735035660e+01 -8.89631742505600e+01
